video_id,true_label,n_index_frames,n_tracked_frames,n_tracked_detections,vocal_cords_presence_fraction,vocal_cords_detection_count,vocal_cords_track_count,vocal_cords_longest_track_fraction,vocal_cords_mean_confidence,vocal_cords_mean_area_fraction,vocal_cords_max_area_fraction,vocal_cords_mean_centroid_x,vocal_cords_mean_centroid_y,vocal_cords_gap_count,arytenoids_presence_fraction,arytenoids_detection_count,arytenoids_track_count,arytenoids_longest_track_fraction,arytenoids_mean_confidence,arytenoids_mean_area_fraction,arytenoids_max_area_fraction,arytenoids_mean_centroid_x,arytenoids_mean_centroid_y,arytenoids_gap_count,epiglottis_presence_fraction,epiglottis_detection_count,epiglottis_track_count,epiglottis_longest_track_fraction,epiglottis_mean_confidence,epiglottis_mean_area_fraction,epiglottis_max_area_fraction,epiglottis_mean_centroid_x,epiglottis_mean_centroid_y,epiglottis_gap_count,esophagus_presence_fraction,esophagus_detection_count,esophagus_track_count,esophagus_longest_track_fraction,esophagus_mean_confidence,esophagus_mean_area_fraction,esophagus_max_area_fraction,esophagus_mean_centroid_x,esophagus_mean_centroid_y,esophagus_gap_count,endotracheal_tube_presence_fraction,endotracheal_tube_detection_count,endotracheal_tube_track_count,endotracheal_tube_longest_track_fraction,endotracheal_tube_mean_confidence,endotracheal_tube_mean_area_fraction,endotracheal_tube_max_area_fraction,endotracheal_tube_mean_centroid_x,endotracheal_tube_mean_centroid_y,endotracheal_tube_gap_count,endotracheal_tube_to_vocal_cords_cooccurrence_fraction,endotracheal_tube_to_vocal_cords_min_distance,endotracheal_tube_to_vocal_cords_mean_distance,endotracheal_tube_to_vocal_cords_near_fraction,endotracheal_tube_to_vocal_cords_first_near_frame_fraction,endotracheal_tube_to_epiglottis_cooccurrence_fraction,endotracheal_tube_to_epiglottis_min_distance,endotracheal_tube_to_epiglottis_mean_distance,endotracheal_tube_to_epiglottis_near_fraction,endotracheal_tube_to_epiglottis_first_near_frame_fraction,endotracheal_tube_to_esophagus_cooccurrence_fraction,endotracheal_tube_to_esophagus_min_distance,endotracheal_tube_to_esophagus_mean_distance,endotracheal_tube_to_esophagus_near_fraction,endotracheal_tube_to_esophagus_first_near_frame_fraction,vocal_cords_to_esophagus_cooccurrence_fraction,vocal_cords_to_esophagus_min_distance,vocal_cords_to_esophagus_mean_distance,vocal_cords_to_esophagus_near_fraction,vocal_cords_to_esophagus_first_near_frame_fraction,endotracheal_tube_motion_mean_step,endotracheal_tube_motion_std_step,endotracheal_tube_motion_max_step,endotracheal_tube_first_seen_fraction,endotracheal_tube_last_seen_fraction
1.RG,1,1354,340,1791,0.10635155096011817,194.0,3.0,0.1395864106351551,0.8932513852709347,0.002970450315005727,0.005819227430555555,0.3794129001010349,0.2356412139641093,141.0,0.20827178729689808,495.0,6.0,0.21491875923190545,0.7989953454094704,0.007958122895622893,0.018577473958333333,0.36446612712073395,0.35877520214122194,276.0,0.0066469719350073855,9.0,1.0,0.0066469719350073855,0.8746513393190172,0.018117163387345682,0.021512586805555556,0.3661476440983397,0.5878292702399371,8.0,0.23190546528803546,908.0,11.0,0.2710487444608567,0.6933740569106283,0.005525822501759056,0.02308810763888889,0.314372117569746,0.4531694615322697,366.0,0.1329394387001477,185.0,1.0,0.13663220088626293,0.9811018766583623,0.16636606137387386,0.29498372395833333,0.6625568047661614,0.32265178700451536,179.0,0.022156573116691284,0.29319017976248124,0.360127387411812,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.12038404726735598,0.31897889793485035,0.39538781643169435,0.0,1.0,0.10635155096011817,0.17788293401005556,0.22353187229558424,0.0,1.0,0.0038466115126797357,0.004862273016524324,0.035404895033119645,0.5713229859571323,0.9682187730968219
10.MB,0,1023,300,463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932551319648094,300.0,2.0,0.28934506353861195,0.9826464233795802,0.02930870225694445,0.04892795138888889,0.380612444776869,0.5218304992584685,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15933528836754643,163.0,5.0,0.11632453567937438,0.9788980089082309,0.23708221497955012,0.34140625,0.7156443733600779,0.5623349827211745,158.0,0.0,1.0,1.0,0.0,1.0,0.15933528836754643,0.32541847155028547,0.34714574514648705,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.011142578142494964,0.011233271384572717,0.07240245337740923,0.2964774951076321,0.7896281800391389
11.MG,1,1097,247,1105,0.08568824065633546,94.0,3.0,0.08113035551504102,0.9436844720485362,0.01307697990543735,0.015493706597222223,0.42290714568379534,0.18242613567467375,91.0,0.1649954421148587,330.0,6.0,0.15861440291704648,0.804606663277655,0.011831261837121212,0.036108940972222225,0.3945031963729301,0.3530012200781269,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19781221513217867,531.0,8.0,0.20601640838650867,0.783975010425582,0.01587279021827265,0.04527126736111111,0.3681151990301763,0.48256756569694775,209.0,0.1358249772105743,150.0,3.0,0.1349134001823154,0.984304385582606,0.18926585648148148,0.38872938368055554,0.663400612082792,0.29051603091699457,146.0,0.01276207839562443,0.2477459656262591,0.3871392583150599,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.10847766636280766,0.2896184202718549,0.35837908030076815,0.0,1.0,0.0829535095715588,0.25897426840826876,0.3210117156593687,0.0,1.0,0.005993960687198338,0.007735781248613772,0.050731773247101014,0.02281021897810219,0.8695255474452555
12.MB,0,2346,594,2452,0.1287297527706735,372.0,47.0,0.03878942881500426,0.7101346869622508,0.014999988332586619,0.04616753472222222,0.45144447809613103,0.10982647248299177,255.0,0.20119352088661552,995.0,1.0,0.42412617220801363,0.8198800781863419,0.029201825097710774,0.056206597222222224,0.44418119193180605,0.2791589150289337,471.0,0.045183290707587385,106.0,7.0,0.029838022165387893,0.9002010659226831,0.03981874222025681,0.08469509548611111,0.4065629187967946,0.4313077622613173,99.0,0.13768115942028986,772.0,7.0,0.30562659846547313,0.7722533618539108,0.03209677442024683,0.07273220486111111,0.4097071366296368,0.5403760058097671,317.0,0.08823529411764706,207.0,3.0,0.08482523444160273,0.9858062561007513,0.23525003774154588,0.50958984375,0.65735991338353,0.5383819334852185,204.0,0.07502131287297528,0.2995687405466312,0.45779131445118604,0.0,1.0,0.0025575447570332483,0.36523332371675465,0.5281208936331264,0.0,1.0,0.008098891730605285,0.31448895932089227,0.35746447403428816,0.0,1.0,0.06180733162830349,0.2583117167207371,0.40505571779634103,0.0,1.0,0.0030473279977896598,0.003837134768752768,0.0359173885113944,0.04477611940298507,0.9748400852878465
13.MB,0,1439,281,1493,0.16330785267546907,383.0,9.0,0.1646977067407922,0.8543667637648221,0.012669307663366698,0.030514322916666666,0.4446937583723906,0.12016806218970015,226.0,0.1646977067407922,531.0,5.0,0.20361362056984017,0.8181411501602489,0.020669829102584223,0.046788194444444445,0.43621483803954847,0.28025596729399427,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14523974982626825,441.0,3.0,0.2543432939541348,0.8428804459485337,0.03401888316090325,0.0721560329861111,0.409782499517151,0.4999137690912868,206.0,0.09589993050729674,138.0,3.0,0.04794996525364837,0.9877932983032172,0.22560315708031403,0.3822428385416667,0.6788913578766766,0.4001147518996205,135.0,0.06671299513551077,0.2480984056461245,0.38868909083753317,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.04586518415566365,0.28605032568088434,0.3290706539132744,0.0,1.0,0.1250868658790827,0.2570505006035947,0.3501969438188249,0.0,1.0,0.00947210746453623,0.009948510619243234,0.06607664902834058,0.6008344923504868,0.9367176634214186
14.RG,1,822,233,985,0.19951338199513383,195.0,4.0,0.19099756690997566,0.9098510048328302,0.009420650819088319,0.017217881944444444,0.4896242564569349,0.1512240087511261,161.0,0.21532846715328466,305.0,8.0,0.2871046228710462,0.7984137613265241,0.01860216017759563,0.03652235243055556,0.4380802357798745,0.2879269616045972,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25790754257907544,416.0,4.0,0.33454987834549876,0.8305183140417705,0.02702985192975427,0.06916666666666667,0.37358639983556186,0.40606161730598267,218.0,0.08150851581508516,69.0,3.0,0.06082725060827251,0.9730079139488331,0.24547717894524965,0.43869249131944443,0.6591157673182811,0.41972451148511897,64.0,0.02068126520681265,0.46326632110175203,0.5564987786202579,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.05596107055961071,0.29322707904835205,0.37781913372930115,0.0,1.0,0.19708029197080293,0.235995731196333,0.28361490421575747,0.0,1.0,0.0069879026237041585,0.00959830418975936,0.05757373510586819,0.6735688185140073,0.951278928136419
15.LB,0,1782,517,2492,0.19753086419753085,582.0,21.0,0.15039281705948374,0.8201594974371985,0.01174640994893089,0.031996527777777777,0.4405889840499581,0.12334634993515278,331.0,0.2048260381593715,704.0,17.0,0.3114478114478115,0.8026143535124984,0.019271459097814077,0.04167317708333333,0.4259745213339403,0.27825442460897526,348.0,0.004489337822671156,8.0,1.0,0.004489337822671156,0.9293861463665962,0.016065131293402778,0.019977213541666667,0.42724926590800305,0.3262069319101702,7.0,0.25982042648709314,937.0,19.0,0.30864197530864196,0.8334520660189707,0.025630322282995374,0.06563585069444444,0.3869228251522553,0.47331837308861147,444.0,0.14646464646464646,261.0,2.0,0.14534231200897868,0.9904818948201293,0.27582972059253935,0.4561588541666667,0.6557693045136335,0.4019322015857867,259.0,0.06228956228956229,0.2886503020972265,0.42465475012323656,0.0,1.0,0.001122334455667789,0.5318009969345735,0.5823568668670841,0.0,1.0,0.11952861952861953,0.290982836588964,0.35308780953557006,0.0,1.0,0.18237934904601572,0.2687747931858533,0.3357885688623148,0.0,1.0,0.007442986272372484,0.0108380698975744,0.08219473003262368,0.06793935991016282,0.9882088714205502
16.RB,0,1629,428,816,0.07366482504604052,213.0,3.0,0.12645794966236956,0.8781382838884989,0.014870550705855506,0.02598198784722222,0.45332518035515246,0.13398634550312596,117.0,0.07120933087783916,226.0,2.0,0.13750767341927564,0.7664951025384718,0.03486245064374385,0.05207248263888889,0.5018525266619867,0.2833132605940214,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03314917127071823,57.0,12.0,0.010435850214855739,0.5473490953445435,0.06116724917763158,0.07800238715277778,0.5035961906792191,0.5149653290337562,42.0,0.19521178637200737,320.0,1.0,0.19643953345610804,0.9901519825682044,0.23467357720269097,0.4463802083333333,0.637780677475427,0.364419183154146,317.0,0.006752608962553714,0.3739442403850575,0.47915526647293355,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.03314917127071823,0.35678591509537144,0.37961958066377605,0.0,1.0,0.006071216306505384,0.006240106816956426,0.04800891075889072,0.31388206388206386,0.898034398034398
17.RB,0,1086,308,497,0.029465930018416207,39.0,4.0,0.02578268876611418,0.8322832767780011,0.0033815771901709404,0.009318576388888888,0.4604734793280255,0.1388907647317936,28.0,0.05985267034990792,84.0,7.0,0.04604051565377532,0.564482610140528,0.039066749855324066,0.05888671875,0.4670305764909908,0.29693903143950934,58.0,0.004604051565377533,5.0,3.0,0.0027624309392265192,0.5503225684165954,0.024080078124999998,0.029377170138888888,0.41995665700154133,0.21082677786316445,2.0,0.06445672191528545,113.0,8.0,0.06906077348066299,0.599977246427958,0.054044447517207474,0.08331488715277778,0.47632648722191195,0.5165615702185162,62.0,0.2136279926335175,256.0,2.0,0.23388581952117865,0.9638389782048762,0.22640694088406033,0.5080002170138889,0.6415748752449315,0.5142092085467777,232.0,0.02117863720073665,0.3509637667952393,0.49452146457702917,0.0,1.0,0.004604051565377533,0.3086224259761832,0.41045884321041903,0.0,1.0,0.008287292817679558,0.11504281436550538,0.2805215955510713,0.0009208103130755065,0.5382488479262673,0.0009208103130755065,0.32339348687151376,0.32339348687151376,0.0,1.0,0.008430773760357953,0.007942730056044784,0.04892008198487025,0.30599078341013825,0.9447004608294931
18.RG,1,1036,237,1286,0.1138996138996139,197.0,3.0,0.18436293436293436,0.8942167994939736,0.015282123563522279,0.032136501736111114,0.45149409163315646,0.14006392097590104,119.0,0.1611969111969112,377.0,4.0,0.2972972972972973,0.8120716359634298,0.018991694181955496,0.04471137152777778,0.43120695226553657,0.29396919669227267,163.0,0.012548262548262547,13.0,2.0,0.008687258687258687,0.7882475898816035,0.00784004407051282,0.011576605902777778,0.4351716713756659,0.47473585532878126,11.0,0.2133204633204633,574.0,3.0,0.49131274131274133,0.8040784506016907,0.021453620653673053,0.058926866319444444,0.4061253435903038,0.4790560646329157,268.0,0.12065637065637065,125.0,2.0,0.11776061776061776,0.9751610350608826,0.15587263888888886,0.2520572916666667,0.6648748722786101,0.23995533913050543,123.0,0.023166023166023165,0.2653570634347267,0.3189349955925171,0.0,1.0,0.0009652509652509653,0.4384808544743374,0.4384808544743374,0.0,1.0,0.1167953667953668,0.2828435196706207,0.36420448238251496,0.0,1.0,0.1138996138996139,0.2793862173483192,0.3329848505704828,0.0,1.0,0.004168410959753858,0.004110011575235483,0.02676662377938351,0.2289855072463768,0.9536231884057971
